,Est,time,max_d,mean_d,triangles
0,0.0001,18766,4,4.0,50.0
1,0.0001,6175,4,4.0,50.0
2,0.0001,34223,4,4.0,50.0
3,0.0,1860,4,4.0,50.0
4,0.0,5002,4,4.0,50.0
5,1.0,7544,4,4.0,50.0
6,0.9999,7596,4,4.0,50.0
7,0.9999,1884,4,4.0,50.0
8,0.0001,5463,4,4.0,50.0
9,0.0,3126,4,4.0,50.0
10,1.0,6414,4,4.0,50.0
11,0.9999,10913,4,4.0,50.0
12,0.9999,4300,4,4.0,50.0
13,0.0001,8404,4,4.0,50.0
14,0.0001,6603,4,4.0,50.0
15,0.0001,4037,4,4.0,50.0
16,0.9999,3896,4,4.0,50.0
17,0.0,7213,4,4.0,50.0
18,0.9999,10890,4,4.0,50.0
19,0.0,6259,4,4.0,50.0
20,0.0,21279,4,4.0,50.0
21,1.0,13865,4,4.0,50.0
22,0.9999,6124,4,4.0,50.0
23,1.0,5906,4,4.0,50.0
24,0.0,7298,4,4.0,50.0
25,1.0,3222,4,4.0,50.0
26,0.0,4567,4,4.0,50.0
27,0.9999,8940,4,4.0,50.0
28,0.0001,12564,4,4.0,50.0
29,0.9999,8072,4,4.0,50.0
30,0.9999,3039,4,4.0,50.0
31,0.0001,30182,4,4.0,50.0
32,1.0,9200,4,4.0,50.0
33,0.0,8140,4,4.0,50.0
34,0.9999,9596,4,4.0,50.0
35,0.0,4151,4,4.0,50.0
36,0.9999,16993,4,4.0,50.0
37,0.0001,4567,4,4.0,50.0
38,0.0001,1995,4,4.0,50.0
39,0.0001,13768,4,4.0,50.0
40,1.0,7249,4,4.0,50.0
41,0.0001,4496,4,4.0,50.0
42,1.0,6625,4,4.0,50.0
43,0.9999,10843,4,4.0,50.0
44,0.0,3377,4,4.0,50.0
45,0.0001,20822,4,4.0,50.0
46,0.0001,24390,4,4.0,50.0
47,0.9999,3605,4,4.0,50.0
48,0.0001,3693,4,4.0,50.0
49,1.0,13229,4,4.0,50.0
50,0.0001,8197,4,4.0,50.0
51,0.0001,18678,4,4.0,50.0
52,0.9999,3692,4,4.0,50.0
53,0.0001,11357,4,4.0,50.0
54,1.0,19291,4,4.0,50.0
55,0.9999,16061,4,4.0,50.0
56,1.0,7703,4,4.0,50.0
57,1.0,11232,4,4.0,50.0
58,0.0,7538,4,4.0,50.0
59,0.0001,6606,4,4.0,50.0
60,1.0,6746,4,4.0,50.0
61,0.9999,8669,4,4.0,50.0
62,0.0001,12593,4,4.0,50.0
63,0.9999,3641,4,4.0,50.0
64,0.9999,7301,4,4.0,50.0
65,0.0001,3172,4,4.0,50.0
66,0.0,4237,4,4.0,50.0
67,0.0001,4186,4,4.0,50.0
68,0.9999,3166,4,4.0,50.0
69,0.9999,19353,4,4.0,50.0
70,0.9999,5786,4,4.0,50.0
71,0.0,9241,4,4.0,50.0
72,0.0,6335,4,4.0,50.0
73,1.0,3746,4,4.0,50.0
74,1.0,5830,4,4.0,50.0
75,0.9999,14105,4,4.0,50.0
76,0.9999,4361,4,4.0,50.0
77,0.0001,7744,4,4.0,50.0
78,0.9999,6843,4,4.0,50.0
79,0.0,30155,4,4.0,50.0
80,0.0,4193,4,4.0,50.0
81,1.0,11790,4,4.0,50.0
82,0.0,14845,4,4.0,50.0
83,0.0,3286,4,4.0,50.0
84,0.9999,15720,4,4.0,50.0
85,0.0,6589,4,4.0,50.0
86,0.0,13833,4,4.0,50.0
87,0.9999,7400,4,4.0,50.0
88,1.0,22456,4,4.0,50.0
89,0.0,11544,4,4.0,50.0
90,0.0,19138,4,4.0,50.0
91,1.0,6834,4,4.0,50.0
92,0.9999,16876,4,4.0,50.0
93,0.0,13228,4,4.0,50.0
94,0.0001,14715,4,4.0,50.0
95,0.0001,9675,4,4.0,50.0
96,0.9999,16029,4,4.0,50.0
97,0.0,27583,4,4.0,50.0
98,0.0001,23901,4,4.0,50.0
99,0.0,8576,4,4.0,50.0
100,1.0,4564,4,4.0,50.0
101,0.9999,32090,4,4.0,50.0
102,0.0,9572,4,4.0,50.0
103,0.9999,11164,4,4.0,50.0
104,0.0001,5649,4,4.0,50.0
105,0.9999,8225,4,4.0,50.0
106,0.9999,2998,4,4.0,50.0
107,1.0,5952,4,4.0,50.0
108,0.0001,5745,4,4.0,50.0
109,0.0,21513,4,4.0,50.0
110,0.0001,2612,4,4.0,50.0
111,1.0,1659,4,4.0,50.0
112,0.9999,2734,4,4.0,50.0
113,0.9999,3096,4,4.0,50.0
114,0.0001,21767,4,4.0,50.0
115,0.9999,7420,4,4.0,50.0
116,0.9999,9124,4,4.0,50.0
117,1.0,2396,4,4.0,50.0
118,0.9999,10659,4,4.0,50.0
119,1.0,13998,4,4.0,50.0
120,0.0,8408,4,4.0,50.0
121,1.0,20308,4,4.0,50.0
122,1.0,9186,4,4.0,50.0
123,0.0001,3017,4,4.0,50.0
124,0.0001,23923,4,4.0,50.0
125,0.0,2275,4,4.0,50.0
126,0.0001,5468,4,4.0,50.0
127,1.0,5099,4,4.0,50.0
128,0.0001,19223,4,4.0,50.0
129,1.0,18180,4,4.0,50.0
130,0.9999,10982,4,4.0,50.0
131,0.9999,6746,4,4.0,50.0
132,0.9999,6633,4,4.0,50.0
133,0.0001,5242,4,4.0,50.0
134,0.9999,3238,4,4.0,50.0
135,0.0,4464,4,4.0,50.0
136,0.0001,6723,4,4.0,50.0
137,0.0,7455,4,4.0,50.0
138,1.0,3243,4,4.0,50.0
139,0.9999,16783,4,4.0,50.0
140,0.9998,12111,4,4.0,50.0
141,0.0,11339,4,4.0,50.0
142,1.0,11885,4,4.0,50.0
143,0.0,2903,4,4.0,50.0
144,0.0001,8200,4,4.0,50.0
145,0.0,5834,4,4.0,50.0
146,0.0001,3781,4,4.0,50.0
147,1.0,9346,4,4.0,50.0
148,0.0001,6153,4,4.0,50.0
149,0.0001,4249,4,4.0,50.0
150,0.0,9346,4,4.0,50.0
151,1.0,6181,4,4.0,50.0
152,0.0,4075,4,4.0,50.0
153,0.0001,5289,4,4.0,50.0
154,0.9999,16519,4,4.0,50.0
155,1.0,16107,4,4.0,50.0
156,0.9999,3157,4,4.0,50.0
157,0.0001,30654,4,4.0,50.0
158,0.9999,6206,4,4.0,50.0
159,0.9999,12434,4,4.0,50.0
160,0.0,4511,4,4.0,50.0
161,0.9998,9783,4,4.0,50.0
162,0.0001,5606,4,4.0,50.0
163,0.9999,2616,4,4.0,50.0
164,0.0001,5778,4,4.0,50.0
165,0.0,8416,4,4.0,50.0
166,0.0,6872,4,4.0,50.0
167,0.9999,25909,4,4.0,50.0
168,0.0,3195,4,4.0,50.0
169,0.0001,26363,4,4.0,50.0
170,0.0001,16486,4,4.0,50.0
171,0.9999,5054,4,4.0,50.0
172,0.0001,5441,4,4.0,50.0
173,0.9999,1485,4,4.0,50.0
174,0.0001,3773,4,4.0,50.0
175,0.0,9225,4,4.0,50.0
176,1.0,3370,4,4.0,50.0
177,0.0001,2869,4,4.0,50.0
178,0.9999,5373,4,4.0,50.0
179,1.0,3286,4,4.0,50.0
180,0.0001,11397,4,4.0,50.0
181,0.0001,13189,4,4.0,50.0
182,0.0001,7458,4,4.0,50.0
183,0.0001,8639,4,4.0,50.0
184,1.0,11367,4,4.0,50.0
185,0.9999,31572,4,4.0,50.0
186,1.0,1386,4,4.0,50.0
187,0.9999,2977,4,4.0,50.0
188,0.0001,5455,4,4.0,50.0
189,0.9999,6526,4,4.0,50.0
190,0.9999,2526,4,4.0,50.0
191,0.0,21416,4,4.0,50.0
192,0.0001,16473,4,4.0,50.0
193,1.0,3345,4,4.0,50.0
194,1.0,5352,4,4.0,50.0
195,0.9999,9756,4,4.0,50.0
196,1.0,9497,4,4.0,50.0
197,0.9999,7374,4,4.0,50.0
198,1.0,3488,4,4.0,50.0
199,0.9999,14321,4,4.0,50.0
200,0.0001,6709,4,4.0,50.0
201,0.0,3375,4,4.0,50.0
202,1.0,4031,4,4.0,50.0
203,0.0001,7839,4,4.0,50.0
204,0.0001,10674,4,4.0,50.0
205,0.0001,6688,4,4.0,50.0
206,0.0001,9529,4,4.0,50.0
207,0.0001,5281,4,4.0,50.0
208,1.0,26928,4,4.0,50.0
209,0.9999,8037,4,4.0,50.0
210,0.0001,7832,4,4.0,50.0
211,0.0001,2543,4,4.0,50.0
212,0.0,13748,4,4.0,50.0
213,1.0,7311,4,4.0,50.0
214,0.0,7258,4,4.0,50.0
215,0.0001,7880,4,4.0,50.0
216,1.0,3399,4,4.0,50.0
217,0.0,32395,4,4.0,50.0
218,0.9999,6458,4,4.0,50.0
219,0.9999,17801,4,4.0,50.0
220,0.0,5663,4,4.0,50.0
221,0.9999,3944,4,4.0,50.0
222,0.0001,4704,4,4.0,50.0
223,0.0001,2440,4,4.0,50.0
224,0.0,12539,4,4.0,50.0
225,1.0,3231,4,4.0,50.0
226,0.0,7317,4,4.0,50.0
227,0.0001,10039,4,4.0,50.0
228,0.0001,3243,4,4.0,50.0
229,0.0,6600,4,4.0,50.0
230,1.0,7285,4,4.0,50.0
231,0.9999,6148,4,4.0,50.0
232,1.0,2995,4,4.0,50.0
233,1.0,12608,4,4.0,50.0
234,0.0001,1908,4,4.0,50.0
235,0.0,4269,4,4.0,50.0
236,0.0001,5888,4,4.0,50.0
237,0.0,3302,4,4.0,50.0
238,0.9999,2068,4,4.0,50.0
239,0.0001,9646,4,4.0,50.0
240,1.0,3652,4,4.0,50.0
241,0.9999,4154,4,4.0,50.0
242,1.0,6281,4,4.0,50.0
243,1.0,9401,4,4.0,50.0
244,0.0001,9313,4,4.0,50.0
245,0.0001,5697,4,4.0,50.0
246,0.9999,7332,4,4.0,50.0
247,0.0001,12609,4,4.0,50.0
248,0.9999,5784,4,4.0,50.0
249,0.9999,4434,4,4.0,50.0
250,0.0001,9681,4,4.0,50.0
251,0.0001,10952,4,4.0,50.0
252,0.0001,7875,4,4.0,50.0
253,0.0,4495,4,4.0,50.0
254,0.0,15095,4,4.0,50.0
255,0.9999,6507,4,4.0,50.0
