,Est,time,max_d,mean_d,triangles
0,0.0,20991,10,6.72,198.0
1,0.0,1291,14,7.4,303.0
2,0.0,40320,12,7.6,300.0
3,0.0,5231,18,8.88,466.0
4,0.0,1664,13,8.12,324.0
5,0.0,13396,12,6.8,232.0
6,0.0,1663,15,9.32,447.0
7,0.0,516,15,8.28,415.0
8,0.0,383,14,8.6,409.0
9,0.0,461,13,7.2,292.0
10,0.0,78573,10,6.64,238.0
11,0.0,17219,11,6.6,206.0
12,0.0,9076,13,7.28,260.0
13,0.0,10981,13,8.12,395.0
14,0.0464,10000000,11,6.64,220.0
15,0.0,1796646,12,6.96,223.0
16,0.0,2322393,12,7.16,256.0
17,0.0,455,13,8.0,364.0
18,0.0,501,16,8.32,388.0
19,0.0001,408,16,8.84,492.0
20,0.0,906,13,8.28,374.0
21,0.0,3292,13,7.6,298.0
22,0.0,309,15,8.32,383.0
23,0.0,276,12,7.76,315.0
24,0.0,38083,15,7.44,327.0
25,0.0,305,16,9.24,469.0
26,0.0,3606,10,7.0,260.0
27,0.0,1446,17,8.52,440.0
28,0.0,881,15,7.76,359.0
29,0.0,11871,11,6.72,228.0
30,0.0,479,13,7.28,269.0
31,0.0001,5660,15,7.52,286.0
32,0.0784,10000000,15,8.0,377.0
33,0.0,885,10,6.88,242.0
34,0.0,32634,12,6.96,224.0
35,0.0,813,10,6.68,213.0
36,0.0,889,14,8.44,422.0
37,0.0,441325,14,7.6,331.0
38,0.0,252942,12,7.24,255.0
39,0.0,2034837,15,7.6,305.0
40,0.0,1501,13,7.72,336.0
41,0.0,451,13,7.16,243.0
42,0.0,85796,13,7.52,293.0
43,0.0,27186,16,7.68,312.0
44,0.0,676,12,6.84,237.0
45,0.0,4721,15,7.84,334.0
46,0.0,341,13,7.32,248.0
47,0.0898,10000000,14,7.8,378.0
48,0.0,686,14,7.24,296.0
49,0.0,12796,14,8.24,353.0
50,0.0001,468,13,7.44,309.0
51,0.0,447,14,8.08,343.0
52,0.0,2419,12,6.96,251.0
53,0.0,523,14,7.64,335.0
54,0.0,32534,12,7.64,313.0
55,0.0,474,14,7.32,264.0
56,0.0,355,14,7.6,283.0
57,0.0,41860,16,8.92,435.0
58,0.0,71769,14,8.4,384.0
59,0.0,911,15,8.12,370.0
60,0.0611,10000000,14,7.6,320.0
61,0.0,5592,17,8.24,365.0
62,0.0,74777,13,7.28,289.0
63,0.0,6438,14,7.72,304.0
64,0.0338,10000000,16,8.08,399.0
65,0.0,3858,10,6.24,179.0
66,0.0,2035,14,8.08,351.0
67,0.0,460,13,7.44,273.0
68,0.0,760,13,6.96,246.0
69,0.0,33033,13,8.28,341.0
70,0.0,20238,10,6.24,194.0
71,0.0594,10000000,15,7.68,327.0
72,0.0,3567,14,7.88,324.0
73,0.0001,319,11,7.36,265.0
74,0.0001,329,13,7.52,283.0
75,0.0,9695,13,7.08,255.0
76,0.0001,130396,14,7.32,281.0
77,0.0,2059,14,8.6,409.0
78,0.0,17421,14,7.36,333.0
79,0.0,1114,13,7.96,341.0
80,0.0,1017,13,7.68,282.0
81,0.0001,9832,13,7.84,338.0
82,0.0,909,14,8.04,380.0
83,0.0,2730,15,7.96,329.0
84,0.0,10934,14,7.92,355.0
85,0.0,9237,14,7.92,362.0
86,0.0,2069334,15,7.92,324.0
87,0.0,1734804,14,6.56,240.0
88,0.0,3445,12,7.44,311.0
89,0.0494,10000000,14,8.2,371.0
90,0.0001,2259,18,9.88,548.0
91,0.0,812,14,7.72,336.0
92,0.0,807,14,8.0,327.0
93,0.0,2693278,12,7.08,261.0
94,0.0,1637,15,7.6,326.0
95,0.0,2683,20,9.84,575.0
96,0.0,389,15,9.2,463.0
97,0.0,1365618,13,7.16,277.0
98,0.0,19131,16,8.0,371.0
99,0.0,66212,11,6.4,199.0
100,0.0,2478,14,8.44,367.0
101,0.0,455,11,7.32,263.0
102,0.0,2264,12,7.76,308.0
103,0.0,629,14,7.44,309.0
104,0.0,123309,11,7.2,287.0
105,0.0,416,13,7.32,298.0
106,0.0,187,17,9.56,506.0
107,0.0,114368,17,8.12,430.0
108,0.0,70021,15,7.96,361.0
109,0.0,441,12,7.56,286.0
110,0.0,471,11,7.04,244.0
111,0.0,62584,12,7.72,293.0
112,0.0,4218,12,6.92,254.0
113,0.0,305,12,7.08,248.0
114,0.0,38631,14,6.88,291.0
115,0.0,15389,15,8.0,340.0
116,0.0,3503,19,9.24,517.0
117,0.0,3316,18,8.08,426.0
118,0.0,485,13,8.08,372.0
119,0.0,551,13,6.68,206.0
120,0.0001,18677,16,8.08,355.0
121,0.0,1342001,12,7.8,332.0
122,0.0,479,12,7.32,266.0
123,0.0,150230,14,8.16,370.0
124,0.0,41583,10,5.96,161.0
125,0.0,3073,16,7.8,356.0
126,0.0,16055,13,6.88,268.0
127,0.0001,529,12,7.08,256.0
128,0.0,1207,15,7.32,296.0
129,0.0001,390,14,7.68,346.0
130,0.1179,10000000,15,7.52,341.0
131,0.0,377,12,7.16,250.0
132,0.0774,10000000,13,7.32,279.0
133,0.0,510,11,7.2,255.0
134,0.0,417,11,7.0,237.0
135,0.0,478,14,7.96,356.0
136,0.0,12204,13,7.44,271.0
137,0.0,4159,14,8.08,356.0
138,0.0,498,11,6.4,187.0
139,0.0,4036,16,9.0,435.0
140,0.0,20194,12,7.12,302.0
141,0.0001,4888,12,7.24,258.0
142,0.0,444,11,6.92,226.0
143,0.0,1200,12,7.64,281.0
144,0.0,2293897,18,8.64,434.0
145,0.0,5712,13,7.52,265.0
146,0.0,348,11,7.24,272.0
147,0.0976,10000000,16,7.92,386.0
148,0.0395,10000000,13,7.2,265.0
149,0.0,6410424,13,7.64,292.0
150,0.0,929,11,7.08,239.0
151,0.0001,508,14,7.96,316.0
152,0.0,2094,13,7.64,346.0
153,0.0,2844,13,7.4,287.0
154,0.0,16649,19,8.8,508.0
155,0.0,1678,12,7.4,276.0
156,0.0,45209,13,7.92,318.0
157,0.0,481,13,7.68,313.0
158,0.0,4119,15,9.4,474.0
159,0.0,10243,14,7.72,304.0
160,0.0,964707,13,7.48,364.0
161,0.0001,739,16,7.12,286.0
162,0.0,56387,15,7.8,359.0
163,0.0,499,20,10.36,635.0
164,0.0,11699,15,8.12,362.0
165,0.0,1659,13,7.32,288.0
166,0.0,547,13,7.16,248.0
167,0.0,54115,14,8.2,368.0
168,0.0,350,14,8.04,329.0
169,0.0,2326,20,9.12,512.0
170,0.0,579,13,8.16,343.0
171,0.0,7964,15,8.08,416.0
172,0.0,575,14,8.2,340.0
173,0.0531,10000000,18,7.44,300.0
174,0.0,712,13,7.48,291.0
175,0.0,355,12,7.44,261.0
176,0.0,350,13,7.44,263.0
177,0.0,2498985,13,7.64,314.0
178,0.0,548,16,8.28,373.0
179,0.0,1967729,13,6.96,243.0
180,0.0,734,12,8.12,356.0
181,0.0,9787886,12,6.56,224.0
182,0.0,4769,16,8.96,454.0
183,0.0,373,11,7.44,281.0
184,0.0,609,15,7.76,317.0
185,0.0001,345,14,7.04,262.0
186,0.0,711,12,6.92,244.0
187,0.0,396,15,8.28,349.0
188,0.0001,489,12,6.96,226.0
189,0.0,2542,12,7.76,323.0
190,0.0,9020090,15,8.08,379.0
191,0.0,8008,11,7.08,285.0
192,0.0,691,11,6.76,234.0
193,0.0,659,15,7.84,316.0
194,0.0,362,14,7.6,315.0
195,0.0,2839,12,7.52,285.0
196,0.0,130537,15,7.92,363.0
197,0.0,18068,15,8.68,380.0
198,0.0,492,11,6.6,205.0
199,0.0,923,11,6.16,172.0
200,0.0,593,14,7.56,303.0
201,0.0,19033,16,8.56,409.0
202,0.0,66929,15,7.48,312.0
203,0.0,43941,14,7.6,332.0
204,0.0,403,14,8.16,341.0
205,0.0,592,12,7.08,250.0
206,0.0,414,14,7.24,252.0
207,0.0,2758,16,7.6,338.0
208,0.0964,10000000,12,6.64,228.0
209,0.0408,10000000,14,8.0,402.0
210,0.0,668,12,7.04,253.0
211,0.0,18378,13,7.6,329.0
212,0.0,657,13,7.8,297.0
213,0.0,674,13,7.96,330.0
214,0.0,318,12,7.4,268.0
215,0.0,6467439,14,7.56,298.0
216,0.0,1605,12,7.04,250.0
217,0.0,2124,10,6.28,185.0
218,0.0,5244,19,10.0,577.0
